#Extracted data using VSM extraction tool v1.1 
#Loaded parameter file: extractVSM.dat
#Desired unit of B: T
#Desired unit of M: memu
#Reading column for B: Applied Field
#Reading column for M: Raw Signal Mx
#Estimate noise level: 5e-3 memu
#Loading data from file: dd144_dry-Hys-00.VHD
#Save data to file: dd144_dry.xye
#Extraction performed at: Wed Oct 12 13:39:32 2016
#Unit of B in data: Oe
#Changing unit by multiplying with factor: 0.0001
#Unit of M in data: memu
#Applied image correction factors to M by linear interpolation of following values
#14998.0	1.0
#15247.0	1.000156
#15497.0	1.000302
#15747.0	1.000527
#15997.0	1.000751
#16247.0	1.001191
#16497.0	1.001494
#16746.0	1.001865
#16996.0	1.002237
#17247.0	1.002688
#17496.0	1.003286
#17746.0	1.003738
#17996.0	1.004259
#18245.0	1.005007
#18495.0	1.005686
#18745.0	1.006367
#18995.0	1.007118

#Substracted file: dd144_dry.xye
#Using Slope: -1.257
#BG Scalefactor: 1
#BG Sigma Slope: 0.0
#B / T	M_sub / memu	sM_sub / memu	M_extracted / memu	sM_extracted / memu	M_raw / memu	sM_raw / memu
-0.1996	-17.1958772	0.005	-16.94498	0.005	-16.94498	0.005
-0.2497	-18.4396529	0.005	-18.12578	0.005	-18.12578	0.005
-0.2997	-19.4389229	0.005	-19.0622	0.005	-19.0622	0.005
-0.3497	-20.2689529	0.005	-19.82938	0.005	-19.82938	0.005
-0.3997	-20.9841829	0.005	-20.48176	0.005	-20.48176	0.005
-0.4498	-21.6047386	0.005	-21.03934	0.005	-21.03934	0.005
-0.4998	-22.1647586	0.005	-21.53651	0.005	-21.53651	0.005
-0.5497	-22.6621729	0.005	-21.9712	0.005	-21.9712	0.005
-0.5998	-23.1176986	0.005	-22.36375	0.005	-22.36375	0.005
-0.6498	-23.5442986	0.005	-22.7275	0.005	-22.7275	0.005
-0.6998	-23.9270186	0.005	-23.04737	0.005	-23.04737	0.005
-0.7498	-24.2851586	0.005	-23.34266	0.005	-23.34266	0.005
-0.7997	-24.6196329	0.005	-23.61441	0.005	-23.61441	0.005
-0.8498	-24.9389386	0.005	-23.87074	0.005	-23.87074	0.005
-0.8998	-25.2275486	0.005	-24.0965	0.005	-24.0965	0.005
-0.9498	-25.5035286	0.005	-24.30963	0.005	-24.30963	0.005
-0.9998	-25.7724786	0.005	-24.51573	0.005	-24.51573	0.005
-1.0998	-26.2686086	0.005	-24.88616	0.005	-24.88616	0.005
-1.1998	-26.7134686	0.005	-25.20532	0.005	-25.20532	0.005
-1.2999	-27.1230043	0.005	-25.48903	0.005	-25.48903	0.005
-1.3998	-27.4989086	0.005	-25.73936	0.005	-25.73936	0.005
-1.4998	-27.8475886	0.005	-25.96234	0.005	-25.96234	0.005
-1.5997	-28.173966676	0.005	-26.163143776	0.005	-26.14351	0.005
-1.6999	-28.4916399747	0.005	-26.3548656747	0.005	-26.2959	0.005
-1.7998	-28.7934735014	0.005	-26.5311249014	0.005	-26.41845	0.005
-1.8998	-29.0815299088	0.005	-26.6934813088	0.005	-26.50482	0.005
-1.8002	-28.7918031402	0.005	-26.5289517402	0.005	-26.41597	0.005
-1.7002	-28.4953159017	0.005	-26.3581645017	0.005	-26.29905	0.005
-1.6001	-28.179216983	0.005	-26.167891283	0.005	-26.14807	0.005
-1.5001	-27.8483644973	0.005	-25.9627387973	0.005	-25.96269	0.005
-1.4001	-27.5168657	0.005	-25.75694	0.005	-25.75694	0.005
-1.3001	-27.1373057	0.005	-25.50308	0.005	-25.50308	0.005
-1.2001	-26.7320957	0.005	-25.22357	0.005	-25.22357	0.005
-1.1	-26.27869	0.005	-24.89599	0.005	-24.89599	0.005
-1.0	-25.79206	0.005	-24.53506	0.005	-24.53506	0.005
-0.95	-25.53256	0.005	-24.33841	0.005	-24.33841	0.005
-0.9	-25.25099	0.005	-24.11969	0.005	-24.11969	0.005
-0.8499	-24.9534543	0.005	-23.88513	0.005	-23.88513	0.005
-0.7999	-24.6427343	0.005	-23.63726	0.005	-23.63726	0.005
-0.7499	-24.3080943	0.005	-23.36547	0.005	-23.36547	0.005
-0.7	-23.95288	0.005	-23.07298	0.005	-23.07298	0.005
-0.6499	-23.5732243	0.005	-22.7563	0.005	-22.7563	0.005
-0.5999	-23.1631243	0.005	-22.40905	0.005	-22.40905	0.005
-0.5499	-22.7101843	0.005	-22.01896	0.005	-22.01896	0.005
-0.4999	-22.2122943	0.005	-21.58392	0.005	-21.58392	0.005
-0.4499	-21.6585943	0.005	-21.09307	0.005	-21.09307	0.005
-0.3998	-21.0373386	0.005	-20.53479	0.005	-20.53479	0.005
-0.3499	-20.3239943	0.005	-19.88417	0.005	-19.88417	0.005
-0.2999	-19.4925443	0.005	-19.11557	0.005	-19.11557	0.005
-0.2499	-18.4890643	0.005	-18.17494	0.005	-18.17494	0.005
-0.1998	-17.2445686	0.005	-16.99342	0.005	-16.99342	0.005
-0.1499	-15.6067343	0.005	-15.41831	0.005	-15.41831	0.005
-0.0999	-13.2637143	0.005	-13.13814	0.005	-13.13814	0.005
-0.0973	-13.1098061	0.005	-12.9875	0.005	-12.9875	0.005
-0.0948	-12.9570736	0.005	-12.83791	0.005	-12.83791	0.005
-0.0923	-12.8029511	0.005	-12.68693	0.005	-12.68693	0.005
-0.0898	-12.6432086	0.005	-12.53033	0.005	-12.53033	0.005
-0.0873	-12.4792461	0.005	-12.36951	0.005	-12.36951	0.005
-0.085	-12.324675	0.005	-12.21783	0.005	-12.21783	0.005
-0.0823	-12.1334211	0.005	-12.02997	0.005	-12.02997	0.005
-0.0798	-11.9554386	0.005	-11.85513	0.005	-11.85513	0.005
-0.0773	-11.7742861	0.005	-11.67712	0.005	-11.67712	0.005
-0.075	-11.600405	0.005	-11.50613	0.005	-11.50613	0.005
-0.0723	-11.3894911	0.005	-11.29861	0.005	-11.29861	0.005
-0.0698	-11.1847886	0.005	-11.09705	0.005	-11.09705	0.005
-0.0673	-10.9762861	0.005	-10.89169	0.005	-10.89169	0.005
-0.065	-10.780245	0.005	-10.69854	0.005	-10.69854	0.005
-0.0625	-10.5597925	0.005	-10.48123	0.005	-10.48123	0.005
-0.06	-10.32877	0.005	-10.25335	0.005	-10.25335	0.005
-0.0573	-10.0704551	0.005	-9.998429	0.005	-9.998429	0.005
-0.055	-9.842844	0.005	-9.773709	0.005	-9.773709	0.005
-0.0523	-9.5641751	0.005	-9.498434	0.005	-9.498434	0.005
-0.0499	-9.3160913	0.005	-9.253367	0.005	-9.253367	0.005
-0.0475	-9.0399205	0.005	-8.980213	0.005	-8.980213	0.005
-0.045	-8.751312	0.005	-8.694747	0.005	-8.694747	0.005
-0.0425	-8.4472695	0.005	-8.393847	0.005	-8.393847	0.005
-0.04	-8.127747	0.005	-8.077467	0.005	-8.077467	0.005
-0.0372	-7.7699574	0.005	-7.723197	0.005	-7.723197	0.005
-0.0349	-7.4489663	0.005	-7.405097	0.005	-7.405097	0.005
-0.0324	-7.0848268	0.005	-7.0441	0.005	-7.0441	0.005
-0.0299	-6.6996693	0.005	-6.662085	0.005	-6.662085	0.005
-0.0275	-6.2974365	0.005	-6.262869	0.005	-6.262869	0.005
-0.0249	-5.8686323	0.005	-5.837333	0.005	-5.837333	0.005
-0.0224	-5.4178158	0.005	-5.389659	0.005	-5.389659	0.005
-0.0199	-4.9431263	0.005	-4.918112	0.005	-4.918112	0.005
-0.0174	-4.4371838	0.005	-4.415312	0.005	-4.415312	0.005
-0.0149	-3.8985893	0.005	-3.87986	0.005	-3.87986	0.005
-0.0124	-3.3276778	0.005	-3.312091	0.005	-3.312091	0.005
-0.0099	-2.7272863	0.005	-2.714842	0.005	-2.714842	0.005
-0.0074	-2.0858168	0.005	-2.076515	0.005	-2.076515	0.005
-0.0049	-1.4116853	0.005	-1.405526	0.005	-1.405526	0.005
-0.0037	-1.0804749	0.005	-1.075824	0.005	-1.075824	0.005
-0.0028	-0.797747	0.005	-0.7942274	0.005	-0.7942274	0.005
-0.0017	-0.5147699	0.005	-0.512633	0.005	-0.512633	0.005
-0.0007	-0.2308624	0.005	-0.2299825	0.005	-0.2299825	0.005
0.0	0.02668498	0.005	0.02668498	0.005	0.02668498	0.005
0.001	0.3095388	0.005	0.3082818	0.005	0.3082818	0.005
0.0021	0.629035	0.005	0.6263953	0.005	0.6263953	0.005
0.003	0.8815634	0.005	0.8777924	0.005	0.8777924	0.005
0.0041	1.1943917	0.005	1.189238	0.005	1.189238	0.005
0.0051	1.4653017	0.005	1.458891	0.005	1.458891	0.005
0.0076	2.1338162	0.005	2.124263	0.005	2.124263	0.005
0.0101	2.7665137	0.005	2.753818	0.005	2.753818	0.005
0.0125	3.3688865	0.005	3.353174	0.005	3.353174	0.005
0.0151	3.9409777	0.005	3.921997	0.005	3.921997	0.005
0.0175	4.4699635	0.005	4.447966	0.005	4.447966	0.005
0.02	4.975903	0.005	4.950763	0.005	4.950763	0.005
0.0226	5.4507182	0.005	5.42231	0.005	5.42231	0.005
0.0251	5.8997787	0.005	5.868228	0.005	5.868228	0.005
0.0276	6.3267212	0.005	6.292028	0.005	6.292028	0.005
0.0301	6.7269587	0.005	6.689123	0.005	6.689123	0.005
0.0325	7.1098935	0.005	7.069041	0.005	7.069041	0.005
0.0351	7.4751837	0.005	7.431063	0.005	7.431063	0.005
0.0376	7.8220872	0.005	7.774824	0.005	7.774824	0.005
0.04	8.151298	0.005	8.101018	0.005	8.101018	0.005
0.0426	8.4656452	0.005	8.412097	0.005	8.412097	0.005
0.0451	8.7721497	0.005	8.715459	0.005	8.715459	0.005
0.0476	9.0610762	0.005	9.001243	0.005	9.001243	0.005
0.0501	9.3377847	0.005	9.274809	0.005	9.274809	0.005
0.0525	9.6037645	0.005	9.537772	0.005	9.537772	0.005
0.055	9.859703	0.005	9.790568	0.005	9.790568	0.005
0.0575	10.1068775	0.005	10.0346	0.005	10.0346	0.005
0.06	10.34565	0.005	10.27023	0.005	10.27023	0.005
0.0625	10.5720525	0.005	10.49349	0.005	10.49349	0.005
0.065	10.797125	0.005	10.71542	0.005	10.71542	0.005
0.0675	11.0063575	0.005	10.92151	0.005	10.92151	0.005
0.07	11.21703	0.005	11.12904	0.005	11.12904	0.005
0.0725	11.4181925	0.005	11.32706	0.005	11.32706	0.005
0.075	11.614465	0.005	11.52019	0.005	11.52019	0.005
0.0775	11.8008675	0.005	11.70345	0.005	11.70345	0.005
