#Extracted data using VSM extraction tool v1.1 
#Loaded parameter file: extractVSM.dat
#Desired unit of B: T
#Desired unit of M: memu
#Reading column for B: Applied Field
#Reading column for M: Raw Signal Mx
#Estimate noise level: 5e-3 memu
#Loading data from file: dd144_dry-Hys-00.VHD
#Save data to file: dd144_dry.xye
#Extraction performed at: Wed Oct 12 13:39:32 2016
#Unit of B in data: Oe
#Changing unit by multiplying with factor: 0.0001
#Unit of M in data: memu
#Applied image correction factors to M by linear interpolation of following values
#14998.0	1.0
#15247.0	1.000156
#15497.0	1.000302
#15747.0	1.000527
#15997.0	1.000751
#16247.0	1.001191
#16497.0	1.001494
#16746.0	1.001865
#16996.0	1.002237
#17247.0	1.002688
#17496.0	1.003286
#17746.0	1.003738
#17996.0	1.004259
#18245.0	1.005007
#18495.0	1.005686
#18745.0	1.006367
#18995.0	1.007118

#Substracted file: dd144_dry.xye
#Using Slope: -1.257
#Rescaled file: dd144_dry_BGLinSub.xy
#Rescale Factor: 0.13962264150943396
#Sigma Scalefactor: 0.0
#B / T	M_scaled / kAm-1	sM_scaled / kAm-1	M_prescaling / memu	sM_prescaling / memu	M_raw / memu	sM_raw / memu
-0.0748	-82.6774474054	-0.0358108108108	-11.5436436	0.005	-11.44962	0.005
-0.0773	-84.0326896351	-0.0358108108108	-11.7328661	0.005	-11.6357	0.005
-0.0798	-85.3427386216	-0.0358108108108	-11.9157786	0.005	-11.81547	0.005
-0.0823	-86.6328051757	-0.0358108108108	-12.0959011	0.005	-11.99245	0.005
-0.0848	-87.8598447027	-0.0358108108108	-12.2672236	0.005	-12.16063	0.005
-0.0873	-89.0717004459	-0.0358108108108	-12.4364261	0.005	-12.32669	0.005
-0.0898	-90.2434480811	-0.0358108108108	-12.6000286	0.005	-12.48715	0.005
-0.0923	-91.3949984189	-0.0358108108108	-12.7608111	0.005	-12.64479	0.005
-0.0948	-92.4937636216	-0.0358108108108	-12.9142236	0.005	-12.79506	0.005
-0.0973	-93.5725463919	-0.0358108108108	-13.0648461	0.005	-12.94254	0.005
-0.0998	-94.6360737568	-0.0358108108108	-13.2133386	0.005	-13.08789	0.005
-0.1497	-111.399145095	-0.0358108108108	-15.5538429	0.005	-15.36567	0.005
-0.1996	-123.159661027	-0.0358108108108	-17.1958772	0.005	-16.94498	0.005
-0.2497	-132.067784284	-0.0358108108108	-18.4396529	0.005	-18.12578	0.005
-0.2997	-139.224718068	-0.0358108108108	-19.4389229	0.005	-19.0622	0.005
-0.3497	-145.169527527	-0.0358108108108	-20.2689529	0.005	-19.82938	0.005
-0.3997	-150.29212077	-0.0358108108108	-20.9841829	0.005	-20.48176	0.005
-0.4498	-154.736641324	-0.0358108108108	-21.6047386	0.005	-21.03934	0.005
-0.4998	-158.747595378	-0.0358108108108	-22.1647586	0.005	-21.53651	0.005
-0.5497	-162.310157257	-0.0358108108108	-22.6621729	0.005	-21.9712	0.005
-0.5998	-165.572706189	-0.0358108108108	-23.1176986	0.005	-22.36375	0.005
-0.6498	-168.628084568	-0.0358108108108	-23.5442986	0.005	-22.7275	0.005
-0.6998	-171.36918727	-0.0358108108108	-23.9270186	0.005	-23.04737	0.005
-0.7498	-173.934244027	-0.0358108108108	-24.2851586	0.005	-23.34266	0.005
-0.7997	-176.329803203	-0.0358108108108	-24.6196329	0.005	-23.61441	0.005
-0.8498	-178.616722405	-0.0358108108108	-24.9389386	0.005	-23.87074	0.005
-0.8998	-180.683794027	-0.0358108108108	-25.2275486	0.005	-24.0965	0.005
