#Extracted data using VSM extraction tool v1.1 
#Loaded parameter file: extractVSM.dat
#Desired unit of B: T
#Desired unit of M: memu
#Reading column for B: Applied Field
#Reading column for M: Raw Signal Mx
#Estimate noise level: 5e-3 memu
#Loading data from file: DD67-Hys-00.VHD
#Save data to file: DD67.xye
#Extraction performed at: Fri Nov 18 16:38:45 2016
#Unit of B in data: Oe
#Changing unit by multiplying with factor: 0.0001
#Unit of M in data: memu
#Applied image correction factors to M by linear interpolation of following values
#14999.0	1.0
#15247.0	1.000145
#15498.0	1.000209
#15748.0	1.000417
#15998.0	1.000699
#16248.0	1.001107
#16497.0	1.001462
#16747.0	1.001735
#16997.0	1.002153
#17247.0	1.002709
#17497.0	1.003192
#17747.0	1.003685
#17996.0	1.004307
#18246.0	1.004801
#18495.0	1.005497
#18746.0	1.006341
#18995.0	1.007251

#Substracted file: DD67.xye
#Using Slope: -1.4515
#Rescaled file: DD67_BGLinSub.xy
#Rescale Factor: 0.12335
#Sigma Scalefactor: 0.0
#B / T	M_scaled / kA\,m^{-1}	sM_scaled / kA\,m^{-1}	M_prescaling / memu	sM_prescaling / memu	M_raw / memu	sM_raw / memu
-1.8996	-71.6771273515	-0.0405350628293	-8.84137365881	0.005	-6.040306	0.005
-1.8	-69.9751575917	-0.0405350628293	-8.63143568894	0.005	-5.992877	0.005
-1.7	-68.3416624706	-0.0405350628293	-8.42994406575	0.005	-5.949545	0.005
-1.6	-66.3641825766	-0.0405350628293	-8.18602192082	0.005	-5.859507	0.005
-1.5	-64.6802544933	-0.0405350628293	-7.97830939175	0.005	-5.801056	0.005
-1.3999	-62.8001852452	-0.0405350628293	-7.74640285	0.005	-5.714448	0.005
-1.3	-60.7623429266	-0.0405350628293	-7.495035	0.005	-5.608085	0.005
-1.2	-58.5466072152	-0.0405350628293	-7.221724	0.005	-5.479924	0.005
-1.1	-56.181321443	-0.0405350628293	-6.929966	0.005	-5.333316	0.005
-0.9999	-53.4469140657	-0.0405350628293	-6.59267685	0.005	-5.141322	0.005
-0.9499	-52.5819201459	-0.0405350628293	-6.48597985	0.005	-5.1072	0.005
-0.8999	-50.9651548439	-0.0405350628293	-6.28655185	0.005	-4.980347	0.005
-0.8499	-49.6455277665	-0.0405350628293	-6.12377585	0.005	-4.890146	0.005
-0.7999	-48.1875950547	-0.0405350628293	-5.94393985	0.005	-4.782885	0.005
-0.7499	-46.8759128496	-0.0405350628293	-5.78214385	0.005	-4.693664	0.005
-0.7	-45.1590676936	-0.0405350628293	-5.570371	0.005	-4.554321	0.005
-0.65	-43.8447344953	-0.0405350628293	-5.408248	0.005	-4.464773	0.005
-0.5999	-41.8853169842	-0.0405350628293	-5.16655385	0.005	-4.295799	0.005
-0.5499	-40.263922578	-0.0405350628293	-4.96655485	0.005	-4.168375	0.005
-0.5	-38.419359546	-0.0405350628293	-4.739028	0.005	-4.013278	0.005
-0.4499	-36.3500920146	-0.0405350628293	-4.48378385	0.005	-3.830754	0.005
-0.3999	-34.0689002837	-0.0405350628293	-4.20239885	0.005	-3.621944	0.005
-0.3499	-31.7261682205	-0.0405350628293	-3.91342285	0.005	-3.405543	0.005
-0.2999	-29.1146562627	-0.0405350628293	-3.59129285	0.005	-3.155988	0.005
-0.25	-26.0828617754	-0.0405350628293	-3.217321	0.005	-2.854446	0.005
-0.1999	-22.753586137	-0.0405350628293	-2.80665485	0.005	-2.5165	0.005
-0.1499	-18.6875869477	-0.0405350628293	-2.30511385	0.005	-2.087534	0.005
-0.1	-13.6823510336	-0.0405350628293	-1.687718	0.005	-1.542568	0.005
-0.0974	-13.4055541143	-0.0405350628293	-1.6535751	0.005	-1.512199	0.005
