#Loaded datafile ../../AH11_HYST_100OE_10K.DAT
#Rescaled data with factor 0.11252542287218859
#B/T	M/kAm-1	sM/kAm-1
-1.5092320800781298	-483.6080822004378	8.782838016125579e-05
-1.50424208984375	-483.3932361731103	0.00011048019706419294
-1.49874208984375	-482.78176012257296	0.00011155740141567794
-1.49323984375	-482.46543803102537	0.000116460007935294
-1.4882354980468702	-482.1484288067515	0.00010018664969348603
-1.4827234375	-481.252704935728	9.038332984015755e-05
-1.4772211425781299	-481.04427957255234	8.475937959322575e-05
-1.47173100585938	-480.6759678603667	9.495817443918469e-05
-1.46199638671875	-480.42961429676524	0.00010249130646290705
-1.4587611328125	-479.9954205040223	9.484433331868357e-05
-1.4535202636718798	-479.57608287241356	0.00011202424799620709
-1.4482798339843799	-479.32946671344143	9.067429269618819e-05
-1.44228017578125	-478.46115903295805	0.00010636769520570727
-1.4367828613281202	-478.0476933637724	0.00010115670232042643
-1.43178461914062	-477.8916072223873	0.0001192950969043918
-1.42655009765625	-477.4207499890075	8.698918375302064e-05
-1.4208157714843799	-477.0597995850497	9.010493578211628e-05
-1.41528818359375	-476.7826107631379	0.00011272519014114057
-1.41003271484375	-476.2618966698554	8.596349747828287e-05
-1.40431416015625	-475.92614269932733	9.779801715597319e-05
-1.398316796875	-475.33157593973493	8.911358497959428e-05
-1.3925437988281202	-474.84256626470284	0.00010933486576752562
-1.38679921875	-474.4765968889732	9.074619596515058e-05
-1.38156782226563	-474.2628223808509	9.444327997434737e-05
-1.37607260742187	-473.9758666169453	9.078816927394123e-05
-1.3700751953125	-473.55441491485567	8.796818951239465e-05
-1.36432270507813	-473.1384352846604	8.266728433020154e-05
-1.35832314453125	-472.3529589805322	8.397138877139827e-05
-1.35257568359375	-472.1139241435106	0.0001019367392027477
-1.3470684082031201	-471.62603071679587	0.00010955883790659622
-1.34182270507813	-471.2106363909634	0.00010671703833871354
-1.33681669921875	-470.76753658352555	7.990357717156533e-05
-1.33130654296875	-470.61474291242286	9.072677581546974e-05
-1.32580087890625	-470.1273808309158	0.00011040026095552406
-1.316787890625	-469.9890782862487	9.172337649622988e-05
-1.31004677734375	-469.0124610419177	0.00010914190675972386
-1.3065421875	-468.80790040955486	9.547266638026872e-05
-1.30056376953125	-468.23546774858795	0.00010928519703428164
-1.29084672851562	-467.8614897362166	7.849318083336949e-05
-1.28755405273437	-467.2708165935526	9.665661669352092e-05
-1.282051953125	-466.7109467852028	0.00010031848027650273
-1.2765580078125	-466.3962119272876	0.00011596361972012292
-1.2708013671875	-466.03571535793054	0.00010436899496033264
-1.2648056640625	-465.6906100184526	9.149037100309106e-05
-1.25931518554687	-465.3182551112576	9.805544112760678e-05
-1.254080078125	-464.84556964829966	0.00011400644986923138
